image_path,label,label_name
external_real/real_01_flickr_6458524847.png,0,REAL
external_real/real_02_flickr_8399166846.png,0,REAL
external_real/real_03_unsplash_alex_iby.png,0,REAL
external_real/real_04_bench.png,0,REAL
external_real/real_05_bertrand_gabioud.png,0,REAL
external_real/real_06_billow926.png,0,REAL
external_real/real_07_overture_creations.png,0,REAL
external_real/real_08_unsplash_photo.png,0,REAL
external_real/real_09_superresolution_input.jpg,0,REAL
external_real/real_10_upscaling_input.png,0,REAL
external_aigc/aigc_01_chatgpt_foxgirl.png,1,AIGC
external_aigc/aigc_02_chatgpt_alone.jpg,1,AIGC
external_aigc/aigc_03_dalle_golden_lady.jpg,1,AIGC
external_aigc/aigc_04_dalle_hawk.png,1,AIGC
external_aigc/aigc_05_invoke_anime.png,1,AIGC
external_aigc/aigc_06_invoke_architecture.png,1,AIGC
external_aigc/aigc_07_invoke_character.png,1,AIGC
external_aigc/aigc_08_invoke_environment.png,1,AIGC
external_aigc/aigc_09_invoke_landscape.png,1,AIGC
external_aigc/aigc_10_invoke_product.png,1,AIGC
